No	unit	文番号	英文	日訳	キー文法1	キー文法2	キー文法3	備考
17	3A	YC-17	"It's called “nap time."""	それは「昼寝時間」と呼ばれています。	受動態	call A B (の受動態)		
18	3A	YC-18	Our teacher tells us that nap time is important because it's really good for our health.	私たちの先生は、昼寝時間は私たちの健康に本当に良いので重要だと私たちに言います。	tell O that S V	be good for ~		
19	3A	YC-19	I agree with him.	私は彼に賛成です。	agree with ~			
20	3A	YC-20	Nap time helps me relax.	昼寝時間は私がリラックスするのを助けてくれます。	help O do			
21	3A	YC-21	I think Japanese students should have nap time after lunch, too.	日本の生徒も昼食後に昼寝時間を持つべきだと思います。	should			
22	3A	YC-22	However, some of my friends are against nap time because they want to play sports, read books, or use the internet.	しかし、私の友達の中には、スポーツをしたり、本を読んだり、インターネットを使いたかったりするので、昼寝時間に反対の人もいます。	be against ~	want to do		
23	3A	YC-23	They think they don't need nap time.	彼らは昼寝時間は必要ないと思っています。	think (that) S V			
24	3A	YC-24	What do you think?	あなたはどう思いますか？	(意見を求める表現)			
1	4	4-H-1	What happened?	何が起こりましたか？	疑問詞(What)			
2	4	4-H-2	Hurricane Maria hit Puerto Rico.	ハリケーン・マリアがプエルトリコを襲いました。				
3	4	4-H-3	He started to raise (money) for solar lamps and hand-powered washing machines.	彼は太陽光ランプと手動洗濯機のためにお金を集め始めました。	start to do	for (目的)		
4	4	4-H-4	"He received the ""President's Environmental Youth Award"" in (2019)."	彼は2019年に「大統領環境ユース賞」を受賞しました。				
5	4	4-H-5	Another hurricane hit Puerto Rico in 2022.	2022年、別のハリケーンがプエルトリコを襲いました。				
6	4	4-H-6	He restarted the project and helped (people) again.	彼はそのプロジェクトを再開し、再び人々を助けました。				
7	4	4-H-7	The Syrian civil war started in (2011).	シリア内戦は2011年に始まりました。				
8	4	4-H-8	She had to flee Syria.	彼女はシリアから逃げなければなりませんでした。	have to do (過去形)			
9	4	4-H-9	She brought her (books) with her.	彼女は本を持っていきました。				
10	4	4-H-10	She moved to a refugee camp in Jordan.	彼女はヨルダンの難民キャンプへ移りました。				
11	4	4-H-11	She started to tell adults about the importance of education.	彼女は大人たちに教育の重要性について語り始めました。	start to do	tell A about B		
12	4	4-H-12	She became the (youngest) Hoodwill Ambassador of UNICEF.	彼女はユニセフの最年少親善大使になりました。	最上級			
13	4	4-H-13	Do you use any AI devices in your daily life?	あなたは日常生活で何かAI機器を使いますか？	doの疑問文			
14	4	4-H-14	What opinion does Kota have about AI?	コウタはAIについてどのような意見を持っていますか？	疑問詞(What)	doの疑問文		
1	4	4-1-1	On a website:	ウェブサイトにて：	(場面)			
2	4	4-1-2	AI technology has made great progress lately.	AI技術は最近、大きな進歩を遂げました。	現在完了形(完了)	make progress		
3	4	4-1-3	It has become a part of our daily lives.	それは私たちの日常生活の一部になっています。	現在完了形(結果)	become C		
4	4	4-1-4	For example, internet search engines use AI technology.	例えば、インターネットの検索エンジンはAI技術を使っています。				
5	4	4-1-5	Smartphones which respond to voice commands are common these days.	音声コマンドに応答するスマートフォンは、最近では一般的です。	関係代名詞(which)			
6	4	4-1-6	Robots which automatically clean your house have become popular.	あなたの家を自動的に掃除するロボットが人気になっています。	関係代名詞(which)	現在完了形(結果)		
7	4	4-1-7	These all use AI technology.	これらはすべてAI技術を使っています。				
8	4	4-1-8	Translation software also uses AI technology.	翻訳ソフトウェアもAI技術を使っています。	also			
9	4	4-1-9	It can come up with the best translation by using AI technology.	それはAI技術を使うことによって、最良の翻訳を思いつくことができます。	can	come up with ~	by -ing	
10	4	4-1-10	It is becoming common.	それは一般的になりつつあります。	現在進行形			
11	4	4-1-11	In the near future, AI will help us communicate with people all over the world quite easily.	近い将来、AIは私たちが世界中の人々と非常に簡単にコミュニケーションをとるのを助けるでしょう。	will	help O do		
1	4	4-2-1	Today's discussion topic is AI technology for our future.	今日のディスカッションのトピックは、私たちの未来のためのAI技術です。				
2	4	4-2-2	If you can use translation software, do you still need to learn foreign languages in school?	もし翻訳ソフトが使えるなら、それでも学校で外国語を学ぶ必要はありますか？	if (接続詞)	need to do		
3	4	4-2-3	Kota's discussion group:	コウタのディスカッショングループ：	(場面)			
4	4	4-2-4	I think translation software is very useful.	私は翻訳ソフトはとても役立つと思います。	think (that) S V			
5	4	4-2-5	I have an uncle who runs a Japanese restaurant.	私には日本食レストランを経営しているおじがいます。	関係代名詞(who)			
6	4	4-2-6	He's not good at speaking English, so he uses a translation device to communicate with foreign customers.	彼（おじ）は英語を話すのが得意ではないので、外国人客とコミュニケーションをとるために翻訳機を使っています。	be good at -ing	so	to不定詞(副詞的用法)	
7	4	4-2-7	In my opinion, AI devices can help with many languages, so learning foreign languages will not be so important anymore.	私の意見では、AI機器は多くの言語を手助けできるので、外国語を学ぶことはもはやそれほど重要ではなくなるでしょう。	will not	-ing (動名詞主語)	not ~ anymore	
8	4	4-2-8	Kota has a good point, but I think learning foreign languages is still important.	コウタの言うことにも一理ありますが、私は外国語を学ぶことは依然として重要だと思います。	but	think (that) S V		
9	4	4-2-9	I don't always want to rely on a machine to communicate with people.	私は人々とコミュニケーションをとるのに、いつも機械に頼りたいとは思いません。	部分否定(not always)	want to do		
1	4	4-3-1	Can I say something?	何か言ってもいいですか？	can I ~?			
2	4	4-3-2	Go ahead, Eri.	どうぞ、エリ。	(口語表現)			
3	4	4-3-3	I think I agree with Hajin.	私はハジンに賛成だと思います。	think (that) S V	agree with ~		
4	4	4-3-4	I also enjoy communicating in English, so I want to study more.	私も英語でコミュニケーションをとることを楽しんでいるので、もっと勉強したいです。	enjoy -ing	so	want to do	
5	4	4-3-5	How about you, Tina?	ティナ、あなたはどうですか？	How about ~?			
6	4	4-3-6	I think Kota is right.	コウタは正しいと思います。	think (that) S V			
7	4	4-3-7	Like his uncle, we'll use AI devices more, and that'll be convenient for us.	彼のおじのように、私たちはもっとAI機器を使うようになるでしょうし、それは私たちにとって便利になるでしょう。	like (前置詞)	will (we'll)		
8	4	4-3-8	On the other hand, I also agree with Hajin and Eri's opinion.	その一方で、私はハジンとエリの意見にも賛成です。	On the other hand			
9	4	4-3-9	Learning a language is a valuable experience that will help us broaden our world view.	言語を学ぶことは、私たちの世界観を広げるのに役立つ貴重な経験です。	関係代名詞(that)	-ing (動名詞主語)	help O do	
10	4	4-3-10	Learning each other's language and culture helps us get a better understanding of each other, too.	お互いの言語と文化を学ぶことは、私たちがお互いをよりよく理解するのを助けてもくれます。	-ing (動名詞主語)	help O do		
11	4	4-3-11	OK, I think everyone had valuable opinions to share.	はい、皆が共有すべき貴重な意見を持っていたと思います。	to不定詞(形容詞的用法)			
12	4	4-3-12	Thank you for sharing them.	それらを共有してくれてありがとう。	Thank you for -ing			
1	4	4-G-1	We should still learn foreign languages to speak directly with people from other countries.	私たちは他の国の人々と直接話すために、依然として外国語を学ぶべきです。	should	to不定詞(副詞的用法)		
2	4	4-G-2	I think it helps us understand each other better.	それは私たちが互いをよりよく理解するのを助けると思います。	think (that) S V	help O do		
3	4	4-G-3	I would hate to be someone who always depends on machines.	私は常に機械に頼るような人にはなりたくないです。	関係代名詞(who)	would like to do	depend on ~	
4	4	4-G-4	We students don't need to learn foreign languages anymore.	私たち生徒は、もはや外国語を学ぶ必要はありません。	need to do	not ~ anymore		
5	4	4-G-5	First, now we can communicate with AI tools which translate various languages.	第一に、今や私たちは様々な言語を翻訳するAIツールでコミュニケーションがとれます。	can	関係代名詞(which)		
6	4	4-G-6	Second, there are already too many things for us to learn.	第二に、私たちが学ぶべきことがすでに多すぎます。	too ~ to ... (It is for A to do Bの変形)			
7	4	4-G-7	Learning English takes too much time.	英語を学ぶことは時間がかかりすぎます。	-ing (動名詞主語)	take time		
8	4	4-G-8	In my country, students need more free time.	私の国では、生徒はもっと自由な時間が必要です。	need			
9	4	4-G-9	I've been learning English for five years.	私は5年間英語を学んでいます。	現在完了進行形	for(期間)		
10	4	4-G-10	It's a valuable experience for me because it made me more positive toward people who have different cultures.	それは私にとって貴重な経験です、なぜならそれは私を異なる文化を持つ人々に対してより前向きにしてくれたからです。	make O C			
11	4	4-G-11	On the other hand, I'm not sure it's necessary for everyone.	その一方で、それが全ての人にとって必要かどうかはわかりません。	be not sure (that) S V			
12	4	4-G-12	Not all of us are interested in learning languages.	私たちの全員が言語を学ぶことに興味があるわけではありません。	部分否定(not all)	be interested in ~		
13	4	4-G-13	Sometimes it may be better for us to enjoy speaking with AI tools.	時にはAIツールで話すのを楽しむ方が私たちにとって良いかもしれません。	It may be ~ for A to do B			
14	4	4-G-14	Learning foreign languages is not just for communication.	外国語を学ぶことは、ただコミュニケーションのためだけではありません。	not just ~			
15	4	4-G-15	It helps us understand our own language and culture better, so we should keep learning them.	それは私たちが自分自身の言語と文化をよりよく理解するのを助けるので、私たちはそれらを学び続けるべきです。	so	should	keep -ing	
16	4	4-G-16	"I remember the famous words of Goethe: ""Those who know nothing of foreign languages know nothing of their own."""	私はゲーテの有名な言葉を覚えています。「外国語について何も知らない者は、自国語についても何も知らない」。	those who ~	know nothing of ~		
1	4A	LR2-1	"When you hear the word ""robot,"" what kind of robot do you imagine?"	あなたが「ロボット」という言葉を聞くとき、どんな種類のロボットを想像しますか？	when (接続詞)	what kind of ~?		
2	4A	LR2-2	"Some people think of anime characters, some people think of human-like robots that talk to people, 
and some people think of home cleaning robots."	"アニメのキャラクターを思い浮かべる人もいれば、人と話す人間のようなロボットを思い浮かべる人もいれば、
家庭用掃除ロボットを思い浮かべる人もいます。"	Some ..., some ..., and some ...	think of ~	関係代名詞(that)	
3	4A	LR2-3	Scientists are continuing to invent more and more robots.	科学者たちはますます多くのロボットを発明し続けています。	continue to do	more and more		
4	4A	LR2-4	What kind of robots have they created?	彼らはどんな種類のロボットを創り出してきたのでしょうか？	現在完了形(結果)	what kind of ~?		
5	4A	LR2-5	Let's look at some examples and think about the relationship between humans and robots.	いくつかの例を見て、人間とロボットの関係について考えてみましょう。	Let's do	look at ~		
6	4A	LR2-6	"This is ""HAL,"" a robot suit. It's a cyborg-type robot."	これはロボットスーツ「HAL」です。それはサイボーグ型のロボットです。				
7	4A	LR2-7	HAL doesn't do anything by itself, but it helps people carry heavy things and protects them from injury.	HALはそれ自体では何もしませんが、人々が重いものを運ぶのを助け、怪我から彼らを守ります。	by itself	help O do		
8	4A	LR2-8	HAL is used in care facilities.	HALは介護施設で使われています。	受動態			
9	4A	LR2-9	It supports people who work there.	それはそこで働く人々をサポートします。	関係代名詞(who)			
10	4A	LR2-10	It helps them transfer elderly people.	それは彼らが年配の人々を移すのを助けます。	help O do (to省略)			
11	4A	LR2-11	Elderly people can use HAL, too.	年配の人々もHALを使うことができます。	can			
12	4A	LR2-12	It helps them move their body.	それは彼らが体を動かすのを助けます。	help O do (to省略)			
13	4A	LR2-13	In addition, it improves and maintains their physical functions.	加えて、それは彼らの身体機能を改善し、維持します。	In addition			
14	4A	LR2-14	HAL can widen our possibilities.	HALは私たちの可能性を広げることができます。	can			
15	4A	LR2-15	"Orihime is an ""avatar"" robot."	オリヒメは「アバター」ロボットです。				
16	4A	LR2-16	Avatar means something that represents you in the virtual world.	アバターとは、仮想世界であなたを表現する何かを意味します。	関係代名詞(that)			
17	4A	LR2-17	This robot can represent you and communicate with people in the real world.	このロボットはあなたを表現し、現実世界の人々とコミュニケーションをとることができます。	can			
18	4A	LR2-18	One of the first OriHime users was Mr. Nagahiro Masato.	最初のオリヒメユーザーの一人は、ナガヒロ・マサトさんでした。	One of ~			
19	4A	LR2-19	He was a 25-year-old man who had a serious illness.	彼は深刻な病気を患っていた25歳の男性でした。	関係代名詞(who)			
20	4A	LR2-20	He didn't have a job before because he could not move his body.	彼は体を動かすことができなかったので、以前は仕事がありませんでした。	because	can (could)		
21	4A	LR2-21	Then OriHime let him work at a cafe.	そこでオリヒメは彼がカフェで働くことを可能にしました。	let O do			
22	4A	LR2-22	Orihime worked as his avatar.	オリヒメは彼のアバターとして働きました。				
23	4A	LR2-23	Mr. Nagahiro controlled the robot with small movements of his fingers at home.	ナガヒロさんは家で、指のわずかな動きでロボットを操作しました。				
24	4A	LR2-24	He watched a live video that was sent from the robot's eyes, and he talked through a microphone.	彼はロボットの目から送られてくるライブ映像を見ながら、マイクを通して話しました。	関係代名詞(that)	受動態		
25	4A	LR2-25	That way, he was able to serve customers who came to the cafe.	そうすることで、彼はカフェに来た客に給仕することができました。	be able to do	関係代名詞(who)		
26	4A	LR2-26	Thanks to Orihime, he will be able to try new things in the future.	オリヒメのおかげで、彼は将来新しいことに挑戦することができるでしょう。	Thanks to ~	be able to do (未来)		
1	4A	LR2-27	Now, look at this picture.	さて、この写真を見てください。	look at ~			
2	4A	LR2-28	This robot is called Sociable Trash Box.	このロボットは「社交的なゴミ箱」と呼ばれています。	受動態	call A B (の受動態)		
3	4A	LR2-29	What does it do? Can you guess?	それは何をするのでしょうか？推測できますか？	doの疑問文	can		
4	4A	LR2-30	This robot finds trash on the floor, but it can't pick it up.	このロボットは床のゴミを見つけますが、それを拾うことはできません。	but	can't	pick ~ up	
5	4A	LR2-31	This robot needs somebody to help it.	このロボットはそれを助けてくれる誰かを必要としています。	to不定詞(形容詞的用法)			
6	4A	LR2-32	You may think it is useless or helpless, but you notice something interesting.	あなたはそれが役に立たない、あるいは無力だと思うかもしれませんが、何か面白いことに気づきます。	may	something + 形容詞		
7	4A	LR2-33	When this robot calls for help, people come to it and pick up the trash happily.	このロボットが助けを求めると、人々がそれに寄ってきて、楽しそうにゴミを拾います。	when (接続詞)	call for ~	pick ~ up	
8	4A	LR2-34	They enjoy helping the robot.	彼らはそのロボットを助けることを楽しみます。	enjoy -ing			
9	4A	LR2-35	It makes people smile.	それは人々を笑顔にします。	make O do			
10	4A	LR2-36	The person who developed this robot wanted people to recognize the value of cooperation.	このロボットを開発した人は、人々に協力の価値を認識してほしかったのです。	関係代名詞(who)	want A to do B		
11	4A	LR2-37	We may expect robots to be perfect, but Sociable Trash Box is made to be imperfect.	私たちはロボットが完璧であることを期待するかもしれませんが、「社交的なゴミ箱」は不完全であるように作られています。	expect A to be B	be made to do		
12	4A	LR2-38	When people help it, they understand the importance of being imperfect and the need to help each other.	人々がそれを助けるとき、彼らは不完全であることの重要性と、互いに助け合う必要性を理解します。	when (接続詞)	to不定詞(形容詞的用法)		
13	4A	LR2-39	What kind of robot would you like to have?	あなたはどんな種類のロボットが欲しいですか？	would like to do	what kind of ~?		
14	4A	LR2-40	What kind of relationships do you want to have with robots?	あなたはロボットとどんな関係を持ちたいですか？	want to do			
15	4A	LR2-41	Do you think it is okay if robots are imperfect?	もしロボットが不完全でも構わないと思いますか？	think (that) S V	if (接続詞)		
16	4A	LR2-42	They might help us learn to cooperate and be kind to others.	それらは私たちが協力し、他者に親切にすることを学ぶのを助けてくれるかもしれません。	might	help O do		
17	4A	LR2-43	We are already living with robots, so it is important and fun to think about these questions.	私たちはすでにロボットと共に生きており、だからこれらの問いについて考えることは重要で楽しいのです。	It is ~ to do ...			
1	5	5-H-1	Candy Apples	りんご飴	(タイトル)			
2	5	5-H-2	They look delicious!	それらは美味しそうに見えます！	look + 形容詞			
3	5	5-H-3	Could you tell me how to make them?	それらの作り方を教えていただけますか？	Could you ~?	間接疑問文(how to do)	tell A B	
4	5	5-H-4	Thank you! Here is my recipe.	ありがとう！これが私のレシピです。	Here is ~			
5	5	5-H-5	You will need ...	あなたが必要なものは…	will			
6	5	5-H-6	12 apples, 12 sticks, 3 cups of sugar, a half cup of corn syrup, 1 cup of water, toppings, red food coloring	りんご12個、棒12本、砂糖3カップ、コーンシロップ半カップ、水1カップ、トッピング、赤色の食用色素	(材料リスト)			
7	5	5-H-7	Wash the apples and remove the stems.	りんごを洗い、ヘタを取り除きます。	命令文			
8	5	5-H-8	Insert the sticks into the stem end of the apples.	棒をりんごのヘタの端に差し込みます。	命令文			
9	5	5-H-9	Make the sugar syrup: stir the sugar, corn syrup, and water together in a pot or a deep pan.	シュガーシロップを作ります：鍋か深いフライパンで砂糖、コーンシロップ、水を一緒にかき混ぜます。	命令文			
10	5	5-H-10	Boil the sugar syrup until it becomes thick.	シュガーシロップがとろみがつくまで煮詰めます。	命令文	until (接続詞)		
11	5	5-H-11	Color by adding a few drops of food coloring.	食用色素を数滴加えて色をつけます。	命令文	by -ing		
12	5	5-H-12	Dip the apples in the sugar syrup.	りんごをシュガーシロップに浸します。	命令文			
13	5	5-H-13	Roll the apples in the toppings and cool the apples on a baking sheet.	りんごをトッピングで転がし、ベーキングシートの上で冷まします。	命令文			
14	5	5-H-14	Do you have any dreams for the future?	あなたは将来の夢はありますか？	doの疑問文			
15	5	5-H-15	What's Kota's dream for the future?	コウタの将来の夢は何ですか？	疑問詞(What)			
